Data;Fornecedor;NomeComercial;Categoria;LojaEntreposto;CodArtigo;DscArtigo;Ean;VPN;TipoArtigo;Marca;Coleccao;Quant;Valor;Column1
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7204 - higiene oral;L5484 - WLS DARQUE;3580611;FIO SUPER-FLOSS ORAL-B 50 FIOS;8700216539005;-1;Permanente;ORAL-B;;1;5,49;WLS DARQUE
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7101 - suplem. alimentares;L5480 - WLS MOURA;7942847;ZZZQUIL FORTE SONO 30GOMAS;7492587;-1;Permanente;ZZZQUIL;;2;43,26;WLS MOURA
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7002 - sistema respiratório;L9084 - WLS BREJOS AZEITÃO;5152288;VICKS SINEX SENSI ALOE VERA 15ML;5011321836648;-1;Permanente;VICKS;;10;90;WLS BREJOS AZEITÃO
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7001 - dor e febre;L5794 - WLS Odivelas D.Dinis;2999157;ILVICO N 20 CP DOR E FEBRE;8665604;-1;Permanente;ILVICO;;6;53,94;WLS Odivelas D.Dinis
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7002 - sistema respiratório;L2800 - WLS COIMBRA EIRAS;2997715;VICKS INALADOR 1G;5410076916825;-1;Permanente;VICKS;;2;9,9;WLS COIMBRA EIRAS
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7202 - equipamentos;L0747 - WLS ALMEIRIM;4670511;TESTE GRAVIDEZ INDICADOR SEMAN CLEARBLUE;5013965723407;-1;Permanente;CLEARBLUE;;9;142,2;WLS ALMEIRIM
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7204 - higiene oral;L0882 - WLS VIANA DO CASTELO;8428422;KUKIDENT PRO FIXAÇÃO TODO DIA FRESC 47G;8700216596480;-1;Permanente;KUKIDENT;;1;10,19;WLS VIANA DO CASTELO
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7204 - higiene oral;L1249 - WLS BRAGANÇA;8428119;KUKIDENT PRO SEM SABOR 47G;8700216594745;-1;Permanente;KUKIDENT;;4;40,76;WLS BRAGANÇA
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7204 - higiene oral;L9084 - WLS BREJOS AZEITÃO;7397721;KUKIDENT PRO FIXAÇÃO DIA SABOR FRESC 70G;8700216596541;-1;Permanente;KUKIDENT;;3;43,68;WLS BREJOS AZEITÃO
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7001 - dor e febre;L0086 - WLS S JOÃO TALHA;5182926;GRIPONAL 20 COMP. EFERVESCENTES;5472949;-1;Permanente;GRIPONAL;;32;360,47;WLS S JOÃO TALHA
